Icon,Title,Title ID,Serial,Size,Publisher,Release Date
ANRK,NARUTO 최강닌자 대결집,NARUTO ACTK1,NTR-ANRK,64 MB,Nintendo,2007-05-03
ADGK,Nintendogs 닥스훈트와 친구들,NINTENDOGS,NTR-ADGK,32 MB,Nintendo,2007-05-03
AD3K,Nintendogs 래브라도와 친구들,NINTENDOGS,NTR-AD3K,32 MB,Nintendo,2007-05-03
AD2K,Nintendogs 치와와와 친구들,NINTENDOGS,NTR-AD2K,32 MB,Nintendo,2007-05-03
AZLK,나만의 컬렉션 Girls Style,GIRLSMODE,NTR-AZLK,128 MB,Nintendo,2010-09-16
ADMK,놀러오세요 동물의 숲,ANIMAL CROSS,NTR-ADMK,32 MB,Nintendo,2007-12-06
A2DK,뉴 슈퍼 마리오브라더스,NEW MARIO,NTR-A2DK,32 MB,Nintendo,2007-03-08
AOSK,도와줘! 리듬 히어로,ELITEBEAT,NTR-AOSK,128 MB,Nintendo,2007-10-11
ANGK,듣고 쓰고 친해지는 DS 영어 삼매경,ENGLISHTRAIN,NTR-ANGK,128 MB,Nintendo,2007-01-18
YLTK,레이튼 교수와 악마의 상자,LAYTON2,NTR-YLTK,128 MB,Nintendo,2011-09-08
A5FK,레이튼 교수와 이상한 마을,LAYTON1,NTR-A5FK,64 MB,Nintendo,2008-09-11
YLZK,리듬 세상,RHYTHMWORLD,NTR-YLZK,128 MB,Nintendo,2009-09-24
AMCK,마리오 카트 DS,MARIOKARTDS,NTR-AMCK,32 MB,Nintendo,2007-04-05
CLJK,마리오&루이지 RPG 3 쿠파 몸속 대모험,MARIO&LUIGI3,NTR-CLJK,128 MB,Nintendo,2011-07-21
ARMK,마리오&루이지 RPG 시간의 파트너,MARIO&LUIGI2,NTR-ARMK,64 MB,Nintendo,2010-07-08
COLK,마리오와 소닉 밴쿠버 동계올림픽,MARIO&SONIC2,NTR-COLK,128 MB,Nintendo,2009-12-03
YNOK,마법천자문 DS,MAGICHANJA1K,NTR-YNOK,128 MB,Nintendo,2009-04-16
BCJK,마법천자문 DS 2 최후의 한자마법,MAGIC DS2,NTR-BCJK,256 MB,Nintendo,2011-01-27
AZWK,만져라 메이드 인 와리오,SAWARUWARIO,NTR-AZWK,32 MB,Nintendo,2007-06-14
AYAK,말랑말랑 두뇌교실,ATAMA JUKU,NTR-AYAK,8 MB,Nintendo,2007-08-02
ANDK,매일매일 DS 두뇌 트레이닝,BRAIN KOREA,NTR-ANDK,16 MB,Nintendo,2007-01-18
ANMK,매일매일 더욱더! DS 두뇌 트레이닝,BRAIN AGE 2,NTR-ANMK,32 MB,Nintendo,2008-08-02
AMHK,메트로이드 프라임 헌터즈,MP HUNTERS,NTR-AMHK,64 MB,Nintendo,2007-12-06
TADK,모여라! 커비,ATUMETEKIRBY,NTR-TADK,64 MB,Nintendo,2011-12-01
AKWK,별의 커비 도팡 일당의 습격,KIRBY DRO,NTR-AKWK,64 MB,Nintendo,2007-09-13
A3YK,소닉 러시 어드벤처,SONICRUSHADV,NTR-A3YK,64 MB,Nintendo,2009-09-17
VAAK,숨은 소질을 깨우는 그림교실,ARTACADEMYR,TWL-VAAK,32 MB,Nintendo,2010-10-14
AXPK,숫자로 찾는 그림퍼즐 피크로스 DS,PICROSSDS,NTR-AXPK,32 MB,Nintendo,2007-09-20
ASMK,슈퍼 마리오 64 DS,S.MARIO64DS,NTR-ASMK,16 MB,Nintendo,2007-07-26
AYWK,요시 아일랜드 DS,YOSHI ISLAND,NTR-AYWK,32 MB,Nintendo,2007-11-08
AM7K,우뇌상쾌통쾌 틀린그림전집,QUICKSPOT,NTR-AM7K,32 MB,Nintendo,2007-03-08
ABXK,터치! 봄버맨랜드,BOMBERMANLND,NTR-ABXK,32 MB,Nintendo,2007-04-26
ATRK,테트리스 DS,TETRIS DS,NTR-ATRK,16 MB,Nintendo,2007-07-07
APDK,포켓몬 대시,POKEMON_DASH,NTR-APDK,16 MB,Nintendo,2007-03-22
APHK,포켓몬 불가사의 던전,POKE DUNGEON,NTR-APHK,32 MB,Nintendo,2007-08-30
APTK,포켓몬 토로제,POKEMONTROSE,NTR-APTK,16 MB,Nintendo,2007-05-17
IRBK,포켓몬스터 블랙,POKEMON B,TWL-IRBK,256 MB,Nintendo,2011-04-21
IREK,포켓몬스터 블랙 2,POKEMON B2,TWL-IREK,512 MB,Nintendo,2012-11-08
IPGK,포켓몬스터 소울실버,POKEMON SS,NTR-IPGK,128 MB,Nintendo,2010-02-04
IPKK,포켓몬스터 하트골드,POKEMON HG,NTR-IPKK,128 MB,Nintendo,2010-02-04
IRAK,포켓몬스터 화이트,POKEMON W,TWL-IRAK,256 MB,Nintendo,2011-04-21
IRDK,포켓몬스터 화이트 2,POKEMON W2,TWL-IRDK,512 MB,Nintendo,2012-11-08
CPUK,포켓몬스터Pt 기라티나,POKEMON PL,NTR-CPUK,128 MB,Nintendo,2009-07-02
AWIK,호텔 더스크의 비밀,HOTELDUSK,NTR-AWIK,128 MB,Nintendo,2009-02-12
